Year,Studio,Studio_Gross,Total_Yearly_Gross,Percentage
2017,ENTMP,74126306,10270776924,0.007
2017,Focus,130401350,10270776924,0.012
2017,Fox,1459132547,10270776924,0.142
2017,LG/S,269806487,10270776924,0.026
2017,LGF,404167571,10270776924,0.039
2017,Neon,30014539,10270776924,0.002
2017,ORF,55390806,10270776924,0.005
2017,PNT,32149404,10270776924,0.003
2017,Par.,463333220,10270776924,0.045
2017,SGem,57184041,10270776924,0.005
2017,STX,198870204,10270776924,0.019
2017,Sony,1013720229,10270776924,0.098
2017,TriS,132939569,10270776924,0.012
2017,Uni.,1436918270,10270776924,0.139
2017,WB,1964132536,10270776924,0.191
2017,Wein.,55658929,10270776924,0.005
