Studio,Year,Genre1,Total Gross,RottenTomato
Fox,2009,Adventure,177243721.0,44.0
Fox,2009,Animation,416188317.0,33.0
Fox,2009,Comedy,58715510.0,10.0
Fox,2009,Short,145000989.0,58.0
Fox,2010,Action,313390310.0,64.4
Fox,2010,Adventure,208358415.0,39.666666666666664
Fox,2010,Comedy,291220861.0,30.2
Fox,2010,Drama,159426943.0,70.0
Fox,2011,Action,424611876.0,46.0
Fox,2011,Animation,276717580.0,41.5
Fox,2011,Comedy,271991009.0,62.25
Fox,2011,Drama,58700247.0,60.0
Fox,2012,Action,315510576.0,27.6
Fox,2012,Adventure,290764904.0,81.66666666666667
Fox,2012,Animation,161317423.0,38.0
Fox,2012,Comedy,168055898.0,39.666666666666664
Fox,2013,Action,358195352.0,49.333333333333336
Fox,2013,Adventure,101782092.0,47.0
Fox,2013,Animation,318127763.0,53.333333333333336
Fox,2013,Biography,50628650.0,96.0
Fox,2013,Comedy,44400000.0,35.0
Fox,2014,Action,481121455.0,68.25
Fox,2014,Adventure,163136013.0,76.66666666666667
Fox,2014,Animation,362542343.0,74.75
Fox,2014,Biography,46305287.0,21.0
Fox,2014,Comedy,77860761.0,21.5
Fox,2014,Crime,0.0,87.0
Fox,2014,Documentary,0.0,92.0
Fox,2014,Drama,0.0,80.0
Fox,2015,Action,139093721.0,39.5
Fox,2015,Adventure,202313768.0,85.5
Fox,2015,Animation,172712239.0,51.0
Fox,2015,Comedy,38996694.0,64.0
Fox,2015,Drama,73040378.0,60.25
Fox,2015,Horror,39918054.0,32.0
Fox,2016,Action,622186892.0,44.75
Fox,2016,Adventure,133247802.0,49.0
Fox,2016,Animation,64060187.0,16.0
Fox,2016,Biography,169385416.0,93.0
Fox,2016,Comedy,60312925.0,39.0
Fox,2017,Action,548402825.0,62.8
Fox,2017,Adventure,57393976.0,92.0
Fox,2017,Animation,144362752.0,78.5
Fox,2017,Biography,244986412.0,71.5
Fox,2017,Crime,153555833.0,74.5
Fox,2017,Horror,74255908.0,67.0
Paramount,1990,Action,204683376.0,46.333333333333336
Paramount,1990,Comedy,13236513.0,33.0
Paramount,1990,Crime,37740360.0,74.33333333333333
Paramount,1990,Drama,217631306.0,74.0
Paramount,1990,Horror,11582891.0,13.0
Paramount,1991,Action,103538089.0,49.0
Paramount,1991,Comedy,210554643.0,42.57142857142857
